"ID","Function","Potential Failure Mode","Image1 - Failure Mode","Image2 - Failure Mode","TDM","SPR","Potential Failure Effects","SEVERITY","Potential Causes","Image - Root Cause","OCCURRENCE","Preventive Controls","Image - Prevention","Detection Controls","Image - Detection","DETECTION","RPN","PFMEA Linkage","SPRRefLink","JIRA","JIRARefLink"
"1","Trigger","Intermittent scan when actuating trigger button","TDM-Trigger-001-FM1.png",,"QUAL-LIB-438
QUAL-LIB-597","SPR 29520
SPR 37082","Intermittent operation of scan engine","4","Worn out rubber boot allowing for dust accumulation in the trigger assembly resulting to interruption of electrical connection","eda10e09-75a3-427a-9d8c-42c9fc4a316b.png","4","Design actuation posts that allows for distributed actuation load (maximum surface contact area) as opposed to point load resulting to premature contact point wear out.","TDM-Trigger-001-P.png","Trigger button actuation life cycle test",,"5","80","No","https://spr.zebra.com/ViewSPR.aspx?sprID=25920",,
"2","Trigger","Cracking of the plastic button","content.png",,"QUAL-LIB-528","SPR 21870","Unable to actuate the trigger","8","Thermal expansion stress from insert molded metal.",,"3","Use of soft transition material such as Silicone (dip and cure insert prior to molding)",,"Simulation test to assess difference in thermal expansion rates",,"3","72","No","https://spr.zebra.com/ViewSPR.aspx?sprID=21870",,
"3","Trigger","Cracking of the plastic button","Picture4.png",,"QUAL-LIB-528","SPR 21870","Unable to actuate the trigger","8","Plastic material has low chemical resistance under constant stress",,"3","Use semi-crystalline materials such as Celcon M90 (POM)",,"Chemical resistance test",,"3","72","No","https://spr.zebra.com/ViewSPR.aspx?sprID=21870",,
"4","Trigger","Trigger button not working","Picture5.png",,"QUAL-LIB-611","SPR 39505","Unable to activate scan engine","8","Fatigue damage to FPC trigger button sub-assembly due to repeated contact and separation with the button plastic component","17380878-d91e-49f4-929c-8ed7bf8a3fe4.png","3","Trigger stack up tolerance analysis to allow for sufficient clearance from FPC when button is activated",,"Trigger actuation life test with applied force towards the higher side of expected range","Picture7.png","4","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=39505",,
"5","Trigger","Trigger button not working","Picture5.png",,"QUAL-LIB-611","SPR 39505","Unable to activate scan engine","8","Fatigue damage to FPC trigger button sub-assembly due to repeated contact and separation with the button plastic component","dd8cdb0a-ac51-4178-aee5-3185395ae416.png","3","Trigger stack up tolerance analysis to allow for sufficient clearance from FPC when button is activated",,"Teardown inspection following completion of actuation life test","Picture7.png","3","72","No","https://spr.zebra.com/ViewSPR.aspx?sprID=39505",,
"6","Acoustics and Audio","Beeper function inoperative",,,"QUAL-LIB-527",,"No beep sound to confirm successful scan.","6","Single solder pad design does not provide sufficient solder shear strength to sustain stress induced during Mechanical testing e.g. Drops or Tumble test.","e53aa543-f3e4-465a-831b-fdbfb2f03749.png","4","Adopt web solder pad design instead of single solder pad design",,"Teardown inspection to confirm solder condition after Drops and Tumble test",,"3","72","No",,,
"7","Acoustics and Audio","Water ingress on speaker",,,"QUAL-LIB-394",,"No audio output","6","Speaker sealing surface not flat and not smooth","qualib394_pic1.png","4","Locate tool ejector pin and mold gates way from sealing surface areas",,"Dust and water ingress protection test",,"3","72","No",,,
"8","Acoustics and Audio","Distorted audio",,,"QUAL-LIB-435",,"Poor audio quality","5","Improper fitting of acoustic seal due to poor keypad mold and acoustic sealing design.","qualib435_pic1.png","4","Design mold and pin insert for proper fitting.",,"Audio quality tests and Ingress Protection tests",,"3","60","No",,,
"9","Acoustics and Audio","Distorted audio",,,"QUAL-LIB-441",,"Poor audio quality","5","Speaker coil wire fatigue","qualib441_pic1.png","5","Compliance to part specifications",,"Speaker Stress Test",,"3","75","No",,,
"10","Acoustics and Audio","Distorted audio",,,"QUAL-LIB-441",,"Poor audio quality","5","Speaker coil wire fatigue","qualib441_pic1.png","5","Compliance to part specifications",,"Build-as-Designed (BAD) analysis",,"3","75","No",,,
"11","Acoustics and Audio","Distorted audio",,,"QUAL-LIB-447","SPR 26630
SPR 17341
SPR 26239
SPR 48162
SPR 51120
SPR 52738
SPR 52637
SPR 53842
SPR 53040
","Poor audio quality","5","Insufficient acoustic enclosure design allowed foreign material to accumulate on Speaker","b8e53bd2-476a-40eb-bd5e-730f9fa61f38.png","4","Compliance to part specifications",,"Dust and water ingress protection test",,"3","60","No","https://spr.zebra.com/ViewSPR.aspx?sprID=26630",,
"12","USB","Broken USB connector","qualib449_pic1.png",,"QUAL-LIB-449",,"No USB connection","6","Insufficient connector mechanical support",,"4","Add mechanical anchor re-inforcement on connectors",,"Bend test with cable attached to terminal",,"3","72","No",,,
"13","Power","Cradle pin cross contact to incorrect Terminal pin","qualib450_pic1.png",,"QUAL-LIB-450",,"Electrical damage to Terminal resulting to feature loss","6","Key alignment feature insufficient to prevent cross contact when Terminal is docked in random fashion",,"5","The complete range of motion must be evaluated when analyzing terminal-to-cradle interface since the end  user will dock the terminal in a random fashion.  Geometry of the terminal-to-cradle interface must be verified to prevent misalignment of the connection under multiple insertion/ placement scenarios. 
CAD models should be manipulated to evaluate worst case docking orientations and angles. Tolerance analyses performed with the system in these configurations.","qualib450_pic2.png.jpg","Insertion life test with complete range of motions while docking followed by full function check","qualib450_pic3.png.jpg","3","90","No",,,
"14","Power","Cradle not charging terminal","qualib451_pic1.png","qualib451_pic2.png","QUAL-LIB-451","SPR 20242","Device not working.  Battery not charged.","6","Misalignment between cradle pogo pins and Terminal I/O connector contacts. ",,"5","Define critical dimensions on 2D print",,"Confirm pin-to-charge contact alignment during insertion test","qualib451_pic3.png","3","90","No",,,
"15","Power","Melted plastic housing during charging","qualib452_pic1.png",,"QUAL-LIB-452",,"Electrical damage to Terminal resulting to feature loss","6","Misalignment between cradle pogo pins and Terminal I/O connector contacts. ",,"5","EE / ME design guidelines","qualib452_pic2.png","Terminal insertion life test with device in operating mode",,"3","90","No",,,
"16","Power","Intermittent connection between device and power cable","qualib453_pic1.png","qualib453_pic2.png","QUAL-LIB-453",,"Intermittent function loss","6","Critical dimension/alignment and tolerances were not defined for proper connection",,"5","Tolerance analysis on critical dimensions",,"Measure contact pressure on contact pins",,"3","90","No",,,
"17","Power","Broken USB cable","qualib529_pic1.png",,"QUAL-LIB-529",,"No USB connection","6","Premature fatigue failure due to insufficient glue coverage used as strain relief ",,"4","Compliance to part specs","qualib529_pic2.png","Cable bend cycle test",,"3","72","No",,,
"18","Power","Pogo pins wearing out prematurely on vehicle cradle","qualib600_pic1.png",,"QUAL-LIB-600 ","
SPR 38423
SPR 32620","Intermittent connection between cradle and terminal","4","Terminal is not fully secured to cradle due to lack of sufficient retention feature to prevent movement","qualib600_pic2.png","4","Position pogo pins in 90 degree offset from the vertical direction to avoid impact from weight of terminal","qualib600_pic3.png","Insertion life test in random fashion","qualib600_pic4.png","3","48","No",,,
"19","Battery and Interconnect","Spare battery gets unseated from charge cradle battery compartment","qualib590_pic1.png",,"QUAL-LIB-590","SPR 36205","Charging failure","8","Insufficient engagement between retention clip and spare battery","qualib590_pic2.png","4","Define spare battery retention force in battery compartment","qualib590_pic3.png","Measure battery retention force",,"3","96","No",,,
"20","Battery and Interconnect","Battery contact chatter","qualib458_pic1.png",,"QUAL-LIB-458",,"Intermittent battery connection","6","Dimensions incompatibility due to parts tolerance",,"4","Define critical dimensions on print and perform tolerance analysis",,"Design margin testing",,"4","96","No",,,
"21","Battery and Interconnect","Swelling of battery pack","qualib461_pic1.png",,"QUAL-LIB-461",,"Failure to operate","8","Continuous battery discharge due to lack of independent HW comparator",,"3","Define under voltage threshold within the battery cell capability",,"Verify power sequence with device going to suspend when power key is pressed following critical suspend",,"3","72","No",,,
"22","Battery and Interconnect","Swelling of battery pack","qualib461_pic1.png",,"QUAL-LIB-461",,"Failure to operate","8","Continuous battery discharge due to lack of independent HW comparator",,"3","Verify use of comparator independent of PMIC to disconnect battery from terminal at critical voltage level for software lockup immunity",,"Verify power sequence with device going to suspend when power key is pressed following critical suspend",,"3","72","No",,,
"23","Battery and Interconnect","Solder joint crack on battery contact block pins",,,"QUAL-LIB-462","SPR 25880","Failure to operate","8","Shear force on contact block during battery insertion to terminal",,"4","Add mechanical support feature to battery contact block",,"Battery insert / remove life test",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=25880",,
"24","Battery and Interconnect","Crack on Thermistor FPC","qualib463_pic1.png",,"QUAL-LIB-463",,"Failure to operate","8","Battery FPC layout and connector pin design",,"4","No step on FPC path","qualib463_pic2.png","Drops and Tumble Tests",,"3","96","No",,,
"25","Battery and Interconnect","Crack on Thermistor FPC","qualib463_pic1.png",,"QUAL-LIB-463",,"Failure to operate","8","Battery FPC layout and connector pin design",,"4","No ""Z"" type bending on FPC","qualib463_pic2.png","Drops and Tumble Tests",,"3","96","No",,,
